flight_id,departure_city,destination_city,airline,departure_hour,distance_km,booking_days,is_weekend,flight_duration_hours,demand_level,price_usd
38,Boston,Houston,JetBlue,21,1820,62,0,2.2,Medium,150.0
39,Los Angeles,San Francisco,Southwest,6,3436,35,0,4.4,High,231.97
40,Seattle,Los Angeles,United,6,4457,77,1,4.6,Medium,260.59
41,Seattle,Miami,American,2,2655,33,0,3.6,Low,150.0
42,Denver,San Francisco,Delta,5,1502,88,1,2.3,High,193.64
43,Miami,Houston,Southwest,14,1953,49,1,2.8,Medium,159.17
44,New York,Chicago,United,19,4432,45,1,4.7,Low,217.92
45,San Francisco,Los Angeles,United,15,2739,81,0,3.3,Low,150.0
46,Atlanta,New York,Southwest,22,3970,28,1,4.1,Low,293.96
47,Los Angeles,Miami,Southwest,10,3044,75,0,4.0,High,212.69
48,Boston,Atlanta,Southwest,14,2140,66,1,2.6,High,231.92
49,Los Angeles,Denver,Delta,7,4132,37,1,4.2,High,352.67
50,Atlanta,Boston,JetBlue,13,3922,6,1,4.5,High,600.0
51,Miami,Houston,JetBlue,12,4137,21,1,4.8,Medium,353.42
52,Denver,Chicago,American,1,3383,69,1,3.7,Low,190.85
53,Seattle,San Francisco,United,19,3431,73,0,3.9,Low,150.0
54,Denver,Los Angeles,American,23,2118,9,0,3.0,High,407.8
55,Houston,Seattle,JetBlue,12,4097,39,0,5.1,High,284.29
56,Los Angeles,Houston,Southwest,23,4233,12,0,4.5,High,600.0
57,New York,Chicago,United,10,4280,51,1,4.5,Low,227.25
58,Houston,San Francisco,JetBlue,12,3637,90,1,4.3,Low,177.57
59,Miami,Atlanta,United,19,4863,16,1,5.1,High,521.87
60,Los Angeles,San Francisco,American,23,2639,18,1,2.7,High,345.75
61,Houston,San Francisco,JetBlue,18,2458,72,0,2.7,Medium,173.3
62,Los Angeles,Miami,American,19,2948,36,1,3.0,Low,158.63
63,Boston,San Francisco,United,17,3730,56,0,4.3,High,262.41
64,Miami,New York,Delta,16,3470,27,1,4.3,Medium,330.15
65,San Francisco,Los Angeles,Southwest,20,4891,79,0,5.3,Medium,223.93
66,Seattle,Boston,American,22,2656,65,0,3.2,Medium,182.27
67,Chicago,Atlanta,United,1,2984,41,0,3.6,High,241.7
68,Seattle,San Francisco,JetBlue,16,3094,88,0,3.5,High,245.9
69,Seattle,Houston,American,3,2142,44,0,3.0,Low,150.0
70,Houston,Seattle,United,14,1603,82,0,2.2,Medium,150.0
71,Miami,Denver,Delta,14,4145,34,0,4.8,Medium,226.22
72,Los Angeles,Seattle,American,1,2862,58,1,3.8,Medium,215.98
73,Denver,New York,United,7,1442,35,0,2.4,Low,150.0
74,Chicago,New York,American,16,1500,32,0,2.2,Low,150.0
75,Atlanta,Miami,United,17,2026,85,1,2.7,Medium,153.63
76,Houston,San Francisco,Southwest,12,3004,42,1,4.0,High,271.27
77,Chicago,Denver,United,23,3036,44,1,3.8,High,259.82
78,San Francisco,Atlanta,United,1,1945,27,0,2.2,Medium,207.89
79,Boston,Miami,United,17,3573,59,0,3.9,Medium,206.24
80,Miami,Atlanta,JetBlue,12,4860,77,0,5.8,Medium,238.71
81,Atlanta,New York,United,16,1551,43,0,2.5,Medium,150.0
82,Houston,Los Angeles,Southwest,20,1121,3,0,2.0,Low,193.98
83,Seattle,Boston,Delta,1,1407,89,1,2.0,Low,150.0
84,New York,Chicago,Southwest,6,4022,18,1,5.0,Medium,344.65
85,Houston,Miami,Delta,9,1216,83,1,2.0,High,187.15
86,New York,Seattle,JetBlue,14,4400,1,1,5.3,Medium,570.13
87,Seattle,Boston,JetBlue,12,1279,78,1,2.3,Medium,150.0
88,Boston,Seattle,JetBlue,9,3040,61,0,3.3,Medium,163.97
89,Miami,New York,Delta,9,3777,1,1,4.3,High,600.0
90,Los Angeles,Boston,Southwest,14,1109,2,0,2.0,High,312.14
91,Houston,New York,American,5,4981,87,1,6.0,High,397.6
92,Denver,Miami,JetBlue,13,1733,23,1,2.5,Low,184.0
93,Seattle,Atlanta,Delta,9,2567,53,0,3.1,Medium,178.62
94,Houston,Los Angeles,Southwest,19,3476,72,0,4.0,Low,163.99
95,San Francisco,Seattle,JetBlue,1,3782,90,1,4.1,Medium,262.53
96,Boston,Atlanta,United,22,2339,63,0,3.1,High,183.92
97,San Francisco,Miami,Southwest,16,1625,51,1,2.2,Medium,150.0
98,Chicago,Los Angeles,Delta,4,2240,69,0,3.0,Medium,150.0
99,Miami,Boston,American,14,3547,11,0,4.3,High,548.41
100,Chicago,Atlanta,American,20,3552,84,0,4.2,High,240.38
101,Houston,San Francisco,American,14,1394,84,1,2.0,Low,150.0
102,Atlanta,Seattle,United,2,4113,10,1,5.1,Medium,560.46
103,Atlanta,Miami,Southwest,23,1313,69,0,2.0,Low,150.0
104,Miami,Denver,JetBlue,16,3707,4,0,4.3,High,550.04
105,Denver,Boston,Southwest,3,4078,86,1,4.1,Low,199.79
106,Boston,Los Angeles,American,5,3129,57,1,3.7,Medium,225.69
107,Denver,Chicago,United,18,4143,87,1,4.6,Low,190.55
108,Boston,Los Angeles,American,22,3016,16,1,3.5,Medium,301.46
109,Seattle,Boston,Delta,17,4247,46,1,5.2,Medium,274.85
110,Houston,Seattle,Southwest,4,2908,49,0,3.1,Medium,160.27
111,Chicago,Seattle,United,12,1827,77,0,2.4,High,161.73
112,Atlanta,New York,American,13,2202,46,0,2.8,Low,150.0
113,San Francisco,Seattle,United,10,3711,50,0,3.8,High,270.79
114,Los Angeles,Chicago,Delta,14,3039,23,0,3.4,Medium,261.86
115,New York,Houston,Delta,0,3008,90,0,3.9,Medium,157.96
116,Los Angeles,Denver,Southwest,5,3067,2,1,3.2,Low,384.54
117,Chicago,Atlanta,United,14,2071,16,1,2.8,High,306.61
118,Chicago,Boston,American,18,3221,60,1,3.3,Low,181.71
119,Boston,Atlanta,American,22,2407,48,0,3.1,Low,150.0
120,Denver,New York,JetBlue,6,4315,25,1,4.9,High,492.35
121,Los Angeles,New York,American,14,4521,57,1,5.5,Low,229.94
122,Boston,New York,Southwest,2,3214,2,0,3.9,Low,308.33
123,Boston,Chicago,Delta,8,3238,29,0,4.0,Medium,267.6
124,Denver,Seattle,American,10,1072,3,0,2.0,High,287.48
125,San Francisco,Atlanta,JetBlue,22,4901,36,0,5.6,Low,174.91
126,Atlanta,Chicago,Southwest,20,4129,88,0,5.1,Low,169.73
127,Miami,San Francisco,Southwest,22,1129,46,1,2.1,Low,150.0
128,Atlanta,Chicago,Southwest,5,2762,25,0,3.0,Medium,232.32
129,New York,Denver,Southwest,22,4604,12,0,5.1,High,600.0
130,Los Angeles,Atlanta,Southwest,23,4747,79,1,5.3,Medium,300.73
131,Atlanta,Chicago,Southwest,3,1487,81,0,2.2,High,164.61
132,Miami,Seattle,Delta,2,2571,39,1,2.9,High,246.2
133,Seattle,Denver,Delta,3,2843,29,0,3.4,High,328.3
134,Los Angeles,Seattle,JetBlue,22,2288,30,0,3.2,Low,150.0
135,Miami,Chicago,American,14,4493,64,0,5.4,Low,196.28
136,Boston,Los Angeles,United,20,2541,47,0,2.7,Medium,150.0
137,Chicago,Denver,Delta,11,2812,5,0,3.4,Medium,374.62
138,San Francisco,Miami,United,2,2882,36,1,3.6,Medium,208.83
139,New York,Denver,JetBlue,16,1147,64,1,2.0,Medium,150.0
140,Miami,Seattle,American,22,1134,78,1,2.0,High,155.78
141,Atlanta,Houston,Delta,12,1724,27,0,2.3,Medium,171.63
142,Chicago,Atlanta,Delta,23,3280,1,1,4.0,Low,379.93
143,Atlanta,San Francisco,American,16,3700,26,0,4.1,Low,247.85
144,Los Angeles,San Francisco,American,19,4524,82,1,4.6,Medium,283.04
145,Miami,Denver,United,5,4192,51,1,5.2,High,331.71
146,Atlanta,Miami,United,12,2241,15,1,2.9,High,335.8
147,Denver,San Francisco,American,17,4623,36,0,5.2,High,282.65
148,Houston,New York,Delta,12,3892,73,0,4.6,Medium,219.63
149,Chicago,Seattle,Southwest,1,1672,65,1,2.4,Low,150.0
150,Seattle,Los Angeles,JetBlue,5,3013,64,0,3.3,Medium,167.94
151,Chicago,Los Angeles,JetBlue,10,2764,22,1,3.4,High,384.48
152,Atlanta,Boston,United,18,1550,71,0,2.3,Low,150.0
153,Atlanta,Denver,American,21,2279,25,1,2.5,High,348.11
154,New York,Miami,Delta,4,3931,85,0,4.1,Medium,189.78
155,Denver,New York,Delta,5,2593,73,0,3.2,High,200.99
156,Seattle,Denver,United,4,2996,87,1,3.5,Medium,228.4
157,San Francisco,Los Angeles,United,5,4129,88,1,4.2,Medium,242.89
158,New York,Miami,Southwest,22,1448,78,0,2.0,High,150.0
159,Los Angeles,Denver,JetBlue,1,3330,73,1,4.3,Low,174.27
160,Seattle,Denver,JetBlue,13,3764,23,0,4.3,Medium,274.32
161,Miami,Houston,JetBlue,9,3009,9,1,4.0,Medium,444.41
162,Houston,New York,United,9,3703,76,1,4.1,High,307.86
163,New York,Denver,Southwest,23,3268,17,0,3.7,Medium,246.38
164,Houston,San Francisco,American,14,3807,9,1,4.5,High,600.0
165,Denver,Chicago,United,9,3209,17,0,3.3,High,321.59
166,Los Angeles,Atlanta,Southwest,20,3343,34,1,3.7,High,284.06
167,Los Angeles,Denver,United,5,2924,73,0,3.0,High,216.03
168,San Francisco,Boston,American,3,2949,30,1,3.3,Low,150.0
169,Los Angeles,Chicago,American,4,3302,67,1,4.0,Low,197.4
170,Atlanta,Houston,Southwest,6,4499,36,0,5.4,Medium,220.58
171,Chicago,New York,Delta,0,1640,25,1,2.1,High,292.39
172,Chicago,Denver,American,19,3075,87,0,3.3,Low,156.88
173,San Francisco,Los Angeles,American,8,1228,3,1,2.0,Medium,307.78
174,Atlanta,Houston,American,0,2603,89,0,2.8,Low,150.0
175,Chicago,New York,American,14,2078,87,1,3.1,Low,151.08
176,Miami,San Francisco,Delta,15,3026,69,0,3.7,Low,150.0
177,Atlanta,Seattle,JetBlue,15,3420,79,0,3.8,High,230.42
178,Denver,Boston,JetBlue,17,4976,33,0,5.7,High,307.98
179,Boston,Chicago,American,0,2547,88,1,3.1,Low,150.0
180,Houston,Boston,Delta,19,3526,72,0,3.5,Low,170.26
181,Atlanta,Houston,United,15,3770,59,1,4.4,Low,181.18
182,Houston,Boston,Delta,7,2444,1,0,3.4,Medium,321.79
183,Miami,Atlanta,Southwest,6,4139,55,1,4.2,Low,218.29
184,Boston,Denver,United,18,2165,83,0,2.5,Low,150.0
185,Seattle,San Francisco,JetBlue,21,2312,87,0,2.5,Medium,150.0
186,San Francisco,New York,JetBlue,15,1251,84,1,2.2,Medium,150.2
187,Atlanta,Chicago,Delta,14,1115,7,0,2.0,Low,188.91
188,San Francisco,Atlanta,JetBlue,13,3418,42,0,3.4,High,248.17
189,Los Angeles,Houston,Delta,14,1184,56,0,2.0,High,159.24
190,Houston,Atlanta,Delta,2,1525,53,0,2.0,Medium,150.0
191,Houston,Seattle,Delta,19,4428,36,1,5.3,Low,217.94
192,Los Angeles,San Francisco,Delta,19,2500,16,0,3.1,High,295.59
193,Seattle,Atlanta,Delta,0,2428,88,1,3.3,High,249.39
194,New York,Boston,Southwest,7,4315,67,1,5.3,Medium,257.12
195,Denver,Seattle,Southwest,17,4039,60,0,4.2,Medium,213.46
196,Atlanta,Chicago,Southwest,8,3391,64,0,4.0,Low,150.0
197,Houston,San Francisco,Delta,19,1110,47,0,2.0,Medium,150.0
198,Denver,Atlanta,JetBlue,20,4134,67,0,4.4,Low,181.84
199,Houston,Seattle,United,17,4650,6,1,5.0,Medium,580.13
200,New York,Atlanta,Southwest,6,3560,29,1,4.4,Medium,350.35
201,Los Angeles,Seattle,American,1,2397,7,0,3.3,High,425.51
202,New York,Miami,American,5,2558,36,0,3.2,High,213.7
203,Houston,Denver,Delta,4,1398,54,0,2.0,Medium,150.0
204,Los Angeles,San Francisco,United,1,2753,69,0,3.6,High,198.34
205,New York,Houston,Southwest,20,2413,58,0,3.1,Medium,150.0
206,Seattle,Houston,Delta,11,2463,41,0,3.3,High,221.03
207,Los Angeles,Miami,JetBlue,1,2687,1,0,2.9,Medium,355.06
208,Atlanta,Miami,United,4,2438,51,1,2.6,High,226.59
209,Houston,Miami,JetBlue,1,1231,25,0,2.0,High,209.09
210,Miami,Houston,JetBlue,21,3708,43,0,3.7,Low,158.59
211,San Francisco,Miami,American,18,2000,11,0,2.0,Low,234.45
212,Houston,Miami,Southwest,19,2014,74,0,2.6,Medium,150.0
213,Atlanta,Houston,Delta,9,1961,4,1,2.9,High,454.01
214,Chicago,San Francisco,JetBlue,10,3654,29,0,4.6,High,371.14
215,Denver,Seattle,JetBlue,2,2278,89,0,3.1,Low,150.0
216,Denver,San Francisco,Delta,1,3427,55,0,3.7,High,258.69
217,San Francisco,Seattle,United,3,1347,10,1,2.0,High,374.88
218,Houston,Atlanta,Delta,13,4728,32,1,5.1,Medium,269.31
219,San Francisco,Miami,Delta,5,3818,26,0,4.0,High,384.11
220,Boston,Miami,Southwest,5,1268,22,1,2.0,High,257.66
221,Houston,Los Angeles,American,21,4559,43,1,5.5,Medium,290.15
222,Los Angeles,Denver,JetBlue,9,2248,40,1,2.7,Medium,183.65
223,Los Angeles,Atlanta,American,19,1468,9,0,2.1,Medium,240.77
224,Boston,Chicago,United,21,2382,81,0,3.4,Low,150.0
225,Seattle,Boston,JetBlue,22,1695,81,0,2.6,Medium,150.0
226,Boston,Seattle,American,22,1080,13,1,2.0,High,347.13
227,Boston,Chicago,United,19,3205,4,0,4.1,High,525.78
228,San Francisco,Miami,Southwest,18,2335,62,0,2.9,Low,150.0
229,New York,Seattle,United,17,1153,56,0,2.0,Low,150.0
230,Los Angeles,Miami,American,5,2887,4,0,3.3,High,496.07
231,New York,Los Angeles,Delta,14,3694,76,1,3.8,High,291.1
232,Boston,Seattle,JetBlue,23,4536,81,0,5.1,Medium,229.68
233,Seattle,San Francisco,Southwest,18,2730,43,1,3.1,Low,150.0
234,Los Angeles,Miami,American,11,3326,33,0,3.7,Medium,198.2
235,Houston,San Francisco,Southwest,1,3108,32,0,3.3,Medium,189.83
236,Houston,Miami,United,2,4692,14,0,5.5,Low,255.18
237,Houston,San Francisco,American,9,2725,61,0,2.9,Low,150.0
238,Atlanta,Boston,Delta,10,2092,31,0,2.5,Medium,150.0
239,San Francisco,Miami,Delta,11,1083,44,1,2.0,Low,150.0
240,Chicago,Atlanta,Delta,12,3850,7,1,4.8,Low,427.88
241,Boston,Miami,Delta,2,2923,43,0,3.8,Medium,160.0
242,Chicago,Atlanta,JetBlue,13,3408,67,1,4.2,High,296.39
243,Miami,Los Angeles,Southwest,17,1091,31,1,2.0,Low,150.0
244,San Francisco,Denver,American,2,2296,10,0,3.0,Low,253.94
245,Houston,Denver,Delta,9,2547,77,1,3.4,High,251.9
246,Los Angeles,Houston,JetBlue,15,3336,80,0,3.4,Low,165.84
247,San Francisco,Houston,Delta,4,2598,57,1,3.1,High,242.56
248,Atlanta,New York,Delta,3,2320,13,0,3.0,Medium,313.96
249,Los Angeles,Atlanta,United,22,3345,81,0,3.7,Medium,201.32
250,New York,Houston,American,8,1400,58,0,2.0,Low,150.0
251,Atlanta,Houston,Southwest,10,4310,75,0,4.9,Low,173.49
252,New York,Los Angeles,United,16,3000,16,1,3.5,High,395.93
253,Los Angeles,Atlanta,United,13,1409,11,1,2.0,Medium,306.72
254,Houston,Boston,Southwest,16,3829,8,0,4.4,High,587.44
255,Chicago,Seattle,Delta,6,3765,5,1,4.0,Low,411.3
256,Boston,San Francisco,Delta,22,1843,49,0,2.2,Low,150.0
257,San Francisco,Los Angeles,American,6,2376,41,1,2.8,Medium,173.91
258,San Francisco,Chicago,Delta,19,3034,89,0,3.2,High,214.17
259,Houston,New York,United,1,3059,9,0,4.0,High,480.63
260,Boston,Atlanta,United,3,4323,17,0,4.7,Low,258.55
261,New York,Chicago,United,18,4133,8,0,4.6,Medium,444.77
262,Chicago,Boston,Southwest,23,3733,57,1,3.8,High,319.86
263,Boston,San Francisco,Delta,20,2390,8,1,2.4,Low,301.38
264,New York,San Francisco,Delta,16,1682,39,0,2.0,Low,150.0
265,Boston,Houston,Delta,2,3518,79,1,4.1,Medium,251.68
266,Miami,Chicago,Delta,15,2226,81,0,2.8,Medium,157.71
267,San Francisco,Seattle,American,23,2488,56,1,2.8,Medium,197.75
268,Miami,Boston,American,22,4970,9,1,6.0,High,600.0
269,Boston,New York,United,19,2785,14,1,3.6,High,358.55
270,Atlanta,Los Angeles,United,22,1826,87,0,2.6,Medium,150.0
271,San Francisco,Denver,Southwest,9,3035,8,1,3.7,Medium,471.53
272,Chicago,Houston,JetBlue,13,3602,72,1,4.1,High,308.85
273,Houston,Atlanta,United,19,4470,7,1,4.5,Medium,588.37
274,Miami,New York,Delta,10,4989,38,1,5.9,Medium,302.23
275,Houston,Chicago,United,8,4224,49,0,4.5,High,296.39
276,New York,Boston,United,16,1308,52,0,2.0,High,150.0
277,Denver,Chicago,American,18,4442,13,0,5.3,High,600.0
278,Atlanta,New York,Delta,19,4482,80,0,5.0,High,283.18
279,New York,Boston,Southwest,11,3194,53,1,3.8,Low,160.29
280,Seattle,San Francisco,Southwest,4,1876,30,0,2.6,Low,150.0
281,New York,Chicago,Southwest,19,2177,77,1,2.7,High,239.49
282,New York,Miami,United,18,2086,85,1,2.1,Low,152.04
283,Denver,New York,Southwest,15,1194,80,1,2.0,Low,150.0
284,San Francisco,New York,Southwest,16,2217,2,0,2.4,High,407.6
285,Atlanta,Miami,Southwest,23,3349,59,0,4.3,Low,156.15
286,Atlanta,Denver,American,20,2646,50,1,2.7,Medium,202.34
287,Chicago,Denver,Delta,15,4295,60,1,5.1,Low,209.25
288,New York,Los Angeles,American,15,1925,55,0,2.8,Medium,150.0
289,Atlanta,Seattle,Delta,5,3558,80,0,4.3,High,258.29
290,Los Angeles,Miami,American,19,4042,80,1,4.6,Low,191.28
291,Chicago,San Francisco,Delta,7,4923,13,0,5.1,Low,409.51
292,Los Angeles,Atlanta,Southwest,22,1376,44,0,2.0,High,168.41
293,Denver,Atlanta,JetBlue,9,3939,84,1,4.6,High,338.59
294,Los Angeles,San Francisco,Southwest,6,4457,87,1,5.4,High,359.04
295,Houston,Chicago,JetBlue,0,3368,4,1,3.5,Medium,482.72
296,Boston,Atlanta,Southwest,3,1388,59,1,2.3,Medium,160.26
297,Los Angeles,San Francisco,American,0,3424,67,1,4.3,High,293.65
298,Denver,Miami,JetBlue,14,2379,43,1,3.1,High,229.18
299,Houston,Atlanta,Southwest,20,2119,76,1,2.2,High,222.23
300,Denver,Los Angeles,United,3,1275,25,1,2.0,Medium,182.84
301,Denver,Seattle,JetBlue,23,3320,14,0,3.5,High,357.06
302,New York,Chicago,Delta,6,4281,14,0,4.9,High,421.61
303,Denver,San Francisco,American,19,3175,2,1,3.2,High,600.0
304,Los Angeles,Miami,Southwest,13,2946,77,1,3.9,Medium,208.7
305,Boston,Chicago,Southwest,13,2749,9,1,3.0,Low,330.08
306,Denver,New York,Delta,1,1859,76,1,2.5,Low,150.0
307,Denver,Seattle,Southwest,10,2422,25,0,3.3,Low,168.37
308,Atlanta,Miami,Southwest,11,4258,74,1,4.3,Low,201.61
309,Seattle,Denver,Delta,17,1314,17,0,2.0,Low,150.0
310,Miami,Houston,Delta,20,3668,82,1,4.5,Low,201.21
311,Houston,Chicago,United,6,4374,66,0,5.2,High,288.95
312,Seattle,Denver,United,0,2236,33,0,3.2,Low,150.0
313,Houston,Boston,Delta,20,3067,46,0,4.1,Low,150.0
314,Miami,Boston,JetBlue,6,4293,54,1,5.1,Low,209.62
315,Boston,Atlanta,JetBlue,22,2228,62,0,2.6,Medium,150.0
316,Chicago,Seattle,JetBlue,9,2773,80,0,3.6,Low,150.0
317,Miami,Los Angeles,American,8,3717,57,0,3.8,Medium,188.13
318,San Francisco,Boston,United,2,3211,24,1,3.4,Low,264.68
319,Seattle,Los Angeles,JetBlue,9,2283,32,1,2.5,Low,157.49
320,Los Angeles,Chicago,JetBlue,9,1819,18,0,2.5,Low,171.3
321,New York,Chicago,JetBlue,16,2697,6,0,3.6,High,448.74
322,San Francisco,Houston,Delta,17,2647,8,0,3.1,Medium,347.74
323,Denver,Seattle,Southwest,10,2029,17,1,2.6,Medium,239.27
324,Denver,Houston,American,0,3559,40,1,4.4,High,288.86
325,Los Angeles,New York,Southwest,3,3110,75,0,3.7,Medium,190.09
326,Los Angeles,Miami,United,21,2856,56,1,3.1,Medium,209.76
327,Atlanta,Boston,Southwest,10,3750,66,1,4.6,Medium,236.88
328,Houston,Chicago,American,10,4127,84,0,4.9,High,298.24
329,Atlanta,San Francisco,JetBlue,12,3242,46,1,3.5,Low,178.2
330,Miami,Houston,JetBlue,23,1739,40,0,2.4,Low,150.0
331,Chicago,Seattle,Delta,18,4608,75,0,5.0,High,286.45
332,Seattle,Miami,Delta,19,1076,70,0,2.0,Medium,150.0
333,Los Angeles,Denver,American,0,3571,19,0,3.8,Medium,273.38
334,Houston,Denver,JetBlue,5,3880,19,0,4.8,Medium,284.19
335,Seattle,New York,Southwest,6,3114,61,0,3.9,High,216.64
336,Miami,New York,Southwest,10,4533,40,0,5.0,Medium,243.14
337,Chicago,Seattle,American,10,1764,78,1,2.4,Medium,158.75
338,San Francisco,Houston,Delta,21,3362,44,0,4.0,Medium,180.08
339,Atlanta,New York,Southwest,15,3044,38,1,3.4,High,271.55
340,Miami,Los Angeles,United,15,1872,48,1,2.6,Medium,150.0
341,Denver,San Francisco,American,1,3706,2,0,4.2,High,574.62
342,Atlanta,Miami,United,20,4940,67,0,5.6,Low,178.6
343,New York,Chicago,United,4,4374,76,0,4.6,High,305.97
344,Atlanta,Boston,Delta,15,4040,85,1,4.7,Low,193.03
345,Miami,Atlanta,JetBlue,4,4842,87,0,5.0,Low,181.35
346,Los Angeles,Miami,American,20,2914,19,0,3.8,High,337.72
347,Chicago,Los Angeles,JetBlue,14,2097,8,0,2.6,Medium,324.53
348,Miami,Houston,Southwest,17,4838,31,1,5.0,High,387.59
349,Los Angeles,Seattle,Southwest,10,3612,65,0,3.9,Low,160.11
350,Los Angeles,Denver,American,14,3182,72,0,4.1,Medium,198.35
351,Atlanta,Houston,Delta,13,4313,7,0,4.6,High,600.0
352,Chicago,Houston,Southwest,23,3516,55,0,4.2,Medium,198.16
353,Miami,Chicago,Southwest,1,4492,45,0,5.4,Medium,246.32
354,Miami,San Francisco,JetBlue,16,4150,26,1,4.5,High,459.83
355,Denver,Chicago,Southwest,9,4714,26,0,5.3,Medium,354.04
356,Houston,San Francisco,Delta,18,2776,82,0,3.1,High,210.4
357,Seattle,Denver,Southwest,23,4828,26,1,5.4,Low,335.33
358,Houston,Seattle,Southwest,21,3318,9,0,3.4,High,520.66
359,Miami,Boston,United,10,3976,44,1,4.1,Medium,253.71
360,Atlanta,Seattle,Delta,17,3567,25,1,4.4,High,414.28
361,San Francisco,Atlanta,Southwest,17,1245,86,1,2.1,Medium,150.0
362,Miami,Atlanta,Delta,0,3139,61,1,4.1,Low,157.01
363,New York,Houston,Delta,6,1821,89,1,2.4,Low,150.0
364,Los Angeles,Houston,Southwest,18,2492,89,0,3.0,Medium,167.79
365,Boston,Denver,Southwest,21,2894,60,1,3.0,Medium,195.59
366,Miami,Los Angeles,Delta,10,1605,77,0,2.6,High,176.21
367,New York,Atlanta,JetBlue,11,1984,89,0,2.5,Medium,150.0
368,New York,San Francisco,JetBlue,2,1616,43,0,2.0,High,169.68
369,Seattle,Atlanta,Delta,4,4057,75,0,4.3,Medium,218.79
370,Chicago,Seattle,Delta,8,3807,73,0,4.6,Low,181.02
371,Miami,Los Angeles,JetBlue,0,4135,43,0,4.3,High,281.75
372,Chicago,Denver,JetBlue,10,2229,79,0,3.0,High,186.7
373,San Francisco,Los Angeles,United,12,4457,39,1,5.3,Low,212.15
374,Atlanta,New York,JetBlue,20,2783,54,1,3.0,Medium,205.87
375,Boston,Atlanta,JetBlue,17,2680,43,1,3.3,Medium,212.17
376,Atlanta,Denver,American,5,2305,21,1,2.7,Low,199.63
377,New York,Houston,Southwest,18,4523,14,1,4.7,High,523.11
378,Los Angeles,Denver,United,19,4400,59,0,5.0,Low,173.48
379,Los Angeles,Atlanta,United,12,4732,6,1,4.8,Low,495.06
380,Chicago,Denver,Delta,5,1263,64,0,2.2,Medium,150.0
381,Atlanta,Chicago,American,19,3596,29,1,4.4,Medium,335.49
382,New York,Seattle,Southwest,3,1833,1,0,2.0,High,370.95
383,Seattle,Atlanta,United,9,4465,82,1,4.7,Low,219.72
384,Denver,San Francisco,JetBlue,22,2689,29,0,3.0,Low,195.15
385,Atlanta,Los Angeles,JetBlue,10,2093,89,0,2.7,High,170.36
386,Chicago,Houston,JetBlue,22,4373,30,1,5.3,Medium,283.5
387,Boston,Denver,Southwest,1,2175,60,0,2.5,Medium,150.0
388,Chicago,San Francisco,United,8,3646,80,0,4.6,Low,172.75
389,New York,Los Angeles,Southwest,13,1657,28,1,2.6,Medium,207.62
390,Miami,Atlanta,Delta,2,2050,31,0,2.4,Medium,150.0
